asset_id,name,district,lat,lon,install_year,rated_capacity_mva,cooling_type,peak_load_pct,customers_served,criticality,last_maintenance_date,prior_heat_faults
SUB-INL-001,Granite Mill 69/12kV,Northfield,38.8515,-121.5396,2001,10,ONAN,0.861,4038,1,2022-09-15,2
SUB-INL-002,Redwater Ridge 69/12kV,Cedar Basin,38.3255,-121.2144,1982,10,ONAF,0.782,4438,4,2025-08-14,0
SUB-INL-003,Cedar Mill 138/13kV,Ridgeline,38.2964,-121.6095,1996,50,ONAF,0.815,13515,1,2022-05-23,1
SUB-INL-004,Granite Creek 230/34kV,Junction West,38.5024,-121.7819,1972,100,ONAF,0.936,45000,4,2025-02-05,2
SUB-INL-005,Marlow Yard 115/12kV,Northfield,38.6544,-121.4989,1999,25,ONAN,0.762,12005,1,2023-01-15,2
SUB-INL-006,Wexford Hollow 115/12kV,Cedar Basin,38.3518,-121.342,1986,25,ONAN,0.645,15930,4,2025-03-27,2
SUB-INL-007,Thornton Mill 69/12kV,Ridgeline,38.2512,-121.6021,1992,10,OFAF,0.616,4846,5,2024-12-03,0
SUB-INL-008,Kingsley Landing 69/12kV,Junction West,38.6209,-121.84,1978,10,ONAF,0.822,3956,1,2022-11-09,0
SUB-INL-009,Wexford Park 115/12kV,Northfield,38.7485,-121.4488,1989,25,ONAN,0.778,10750,5,2022-07-10,0
SUB-INL-010,Stonebridge Landing 69/12kV,Cedar Basin,38.6172,-121.1864,1986,10,OFAF,0.59,4711,1,2022-02-13,4
SUB-INL-011,Marlow Hollow 138/13kV,Ridgeline,38.4724,-121.811,1978,50,ONAN,0.806,19685,3,2024-05-26,0
SUB-INL-012,Ashford Terrace 69/12kV,Junction West,38.462,-121.7123,1988,10,ONAN,0.702,4823,2,2023-04-11,1
SUB-INL-013,Cedar Landing 230/34kV,Northfield,38.7595,-121.283,2006,100,ONAF,0.872,45000,2,2022-08-12,1
SUB-INL-014,Cedar Park 69/12kV,Cedar Basin,38.4928,-121.1046,1997,10,ONAN,0.84,2846,4,2023-04-21,0
SUB-INL-015,Pinecrest Heights 230/34kV,Ridgeline,38.476,-121.5226,1978,100,ONAF,0.928,28531,5,2025-01-05,0
SUB-INL-016,Redwater Terrace 115/12kV,Junction West,38.6548,-121.9962,1977,25,ONAF,0.856,11990,3,2025-03-05,1
SUB-INL-017,Redwater Heights 115/12kV,Northfield,38.8528,-121.4068,2008,25,ONAF,0.86,13219,1,2022-07-20,1
