asset_id,condition,tau_hours
SUB-SGW-001,0.237,3.616
SUB-SGW-002,0.6567,3.814
SUB-SGW-003,0.1771,4.728
SUB-SGW-004,0.1611,3.728
SUB-SGW-005,0.0805,5.307
SUB-SGW-006,0.5484,4.538
SUB-SGW-007,0.3777,5.185
SUB-SGW-008,0.4136,5.155
SUB-SGW-009,0.5283,5.387
SUB-SGW-010,0.4584,5.499
SUB-SGW-011,0.2952,4.656
SUB-SGW-012,0.3763,5.184
SUB-SGW-013,0.4479,5.236
SUB-SGW-014,0.2592,3.0
SUB-SGW-015,0.3561,5.647
SUB-SGW-016,0.2747,5.15
SUB-SGW-017,0.1537,5.564
SUB-SGW-018,0.2945,3.713
SUB-SGW-019,0.1243,4.684
SUB-SGW-020,0.0,3.908
SUB-SGW-021,0.2201,5.745
SUB-SGW-022,0.4783,3.595
SUB-SGW-023,0.5382,4.071
SUB-SGW-024,0.4676,5.534
SUB-SGW-025,0.5225,4.371
SUB-SGW-026,0.4101,4.072
SUB-SGW-027,0.2077,5.907
SUB-SGW-028,0.4278,5.948
SUB-SGW-029,0.4731,5.722
SUB-SGW-030,0.5307,5.849
SUB-SGW-031,0.8303,4.768
SUB-SGW-032,0.5072,4.795
SUB-SGW-033,0.4066,4.352
SUB-SGW-034,0.4434,5.168
SUB-SGW-035,0.2595,4.472
SUB-SGW-036,0.4475,4.567
SUB-SGW-037,0.2739,5.6
SUB-SGW-038,0.1825,6.185
SUB-SGW-039,0.5521,5.398
SUB-SGW-040,0.3223,6.794
SUB-SGW-041,0.5006,4.294
SUB-SGW-042,0.3428,3.162
SUB-SGW-043,0.5375,5.715
SUB-SGW-044,0.4597,4.228
SUB-SGW-045,0.395,4.726
SUB-SGW-046,0.3778,3.23
SUB-SGW-047,0.5582,4.101
SUB-SGW-048,0.2869,3.498
SUB-SGW-049,0.2835,4.566
SUB-SGW-050,0.7244,4.605
SUB-SGW-051,0.438,5.09
SUB-SGW-052,0.5158,6.24
SUB-SGW-053,0.5179,5.677
SUB-SGW-054,0.4079,3.378
SUB-SGW-055,0.0933,5.608
SUB-SGW-056,0.2687,5.112
SUB-SGW-057,0.442,4.902
SUB-SGW-058,0.7653,4.977
SUB-SGW-059,0.588,5.205
SUB-SGW-060,0.1528,4.308
SUB-SGW-061,0.5237,4.818
SUB-SGW-062,0.5963,6.184
SUB-SGW-063,0.5027,4.296
SUB-SGW-064,0.4616,3.97
SUB-SGW-065,0.1674,4.938
SUB-SGW-066,0.5233,3.869
SUB-SGW-067,0.4425,3.277
SUB-SGW-068,0.0,4.656
SUB-SGW-069,0.6592,6.449
SUB-SGW-070,0.5972,4.961
SUB-SGW-071,0.619,5.179
SUB-SGW-072,0.4163,3.0
SUB-SGW-073,0.3523,5.438
SUB-SGW-074,0.3772,5.093
SUB-SGW-075,0.1038,4.335
SUB-SGW-076,0.5621,5.18
SUB-SGW-077,0.422,5.17
SUB-SGW-078,0.7611,3.941
SUB-SGW-079,0.333,5.332
SUB-SGW-080,0.0997,6.197
SUB-SGW-081,0.3519,4.772
SUB-SGW-082,0.5224,4.132
SUB-SGW-083,0.4207,4.822
SUB-SGW-084,0.358,5.855
SUB-SGW-085,0.502,3.774
SUB-SGW-086,0.0961,5.579
SUB-SGW-087,0.754,4.322
SUB-SGW-088,0.4382,5.242
SUB-SGW-089,0.109,4.436
SUB-SGW-090,0.4843,4.433
SUB-SGW-091,0.541,6.523
SUB-SGW-092,0.7589,3.591
SUB-SGW-093,0.5759,5.485
SUB-SGW-094,0.5226,6.731
SUB-SGW-095,0.5161,5.686
SUB-SGW-096,0.3316,3.669
SUB-SGW-097,0.611,3.718
SUB-SGW-098,0.4552,4.248
SUB-SGW-099,0.542,5.158
SUB-SGW-100,0.1154,5.226
SUB-SGW-101,0.6622,3.728
SUB-SGW-102,0.6372,4.127
SUB-SGW-103,0.4286,4.189
SUB-SGW-104,0.3465,4.819
SUB-SGW-105,0.4004,6.985
SUB-SGW-106,0.2687,4.067
SUB-SGW-107,0.0,4.023
SUB-SGW-108,0.4239,3.867
SUB-SGW-109,0.2061,5.636
SUB-SGW-110,0.4828,4.959
SUB-SGW-111,0.3811,4.104
SUB-SGW-112,0.7439,4.637
SUB-SGW-113,0.598,4.208
SUB-SGW-114,0.3235,5.296
SUB-SGW-115,0.1726,7.684
SUB-SGW-116,0.0914,5.551
SUB-SGW-117,0.5695,4.907
SUB-SGW-118,0.3782,4.335
SUB-SGW-119,0.6552,3.657
SUB-SGW-120,0.4623,5.734
SUB-SGW-121,0.6131,5.679
SUB-SGW-122,0.4052,4.534
SUB-SGW-123,0.4011,6.213
SUB-SGW-124,0.1177,5.021
SUB-SGW-125,0.7978,5.775
SUB-SGW-126,0.3964,5.296
SUB-SGW-127,0.537,4.823
SUB-SGW-128,0.4917,4.045
SUB-SGW-129,0.2599,4.854
SUB-SGW-130,0.3803,5.842
SUB-SGW-131,0.4687,4.492
SUB-SGW-132,0.1471,5.44
SUB-SGW-133,0.3521,3.917
SUB-SGW-134,0.1108,5.78
SUB-SGW-135,0.6346,5.313
SUB-SGW-136,0.6193,3.798
SUB-SGW-137,0.6236,4.776
SUB-SGW-138,0.1969,5.931
SUB-SGW-139,0.1907,3.741
SUB-SGW-140,0.6614,3.929
SUB-SGW-141,0.9327,4.931
SUB-SGW-142,0.5409,7.133
SUB-SGW-143,0.4953,4.327
SUB-SGW-144,0.6643,5.495
SUB-SGW-145,0.5015,5.26
SUB-SGW-146,0.4865,4.41
SUB-SGW-147,0.3037,5.161
SUB-SGW-148,0.0613,4.552
SUB-SGW-149,0.2129,4.642
SUB-SGW-150,0.6099,3.339
SUB-SGW-151,0.4395,4.976
SUB-SGW-152,0.5665,5.899
SUB-SGW-153,0.2902,5.057
SUB-SGW-154,0.1205,6.091
SUB-SGW-155,0.2349,5.58
SUB-SGW-156,0.5449,4.94
SUB-SGW-157,0.2714,4.372
SUB-SGW-158,0.2628,4.514
SUB-SGW-159,0.0698,3.529
SUB-SGW-160,0.6277,4.733
SUB-SGW-161,0.4423,5.146
SUB-SGW-162,0.3264,6.715
