asset_id,event_id,thermal_stress,mean_effective_load
SUB-SGW-001,EVT-01,0.0,0.704
SUB-SGW-002,EVT-01,0.0,0.7819
SUB-SGW-003,EVT-01,0.0,0.6496
SUB-SGW-004,EVT-01,0.0,0.783
SUB-SGW-005,EVT-01,0.0,0.5849
SUB-SGW-006,EVT-01,0.0,0.8271
SUB-SGW-007,EVT-01,0.0,0.7255
SUB-SGW-008,EVT-01,0.0,0.6373
SUB-SGW-009,EVT-01,0.0,0.8671
SUB-SGW-010,EVT-01,0.0,0.7317
SUB-SGW-011,EVT-01,0.0,0.6455
SUB-SGW-012,EVT-01,0.0,0.6475
SUB-SGW-013,EVT-01,0.0,0.8456
SUB-SGW-014,EVT-01,0.0,0.7881
SUB-SGW-015,EVT-01,0.0,0.8784
SUB-SGW-016,EVT-01,0.0,0.6547
SUB-SGW-017,EVT-01,0.0,0.7245
SUB-SGW-018,EVT-01,0.033,0.8887
SUB-SGW-019,EVT-01,0.0,0.7696
SUB-SGW-020,EVT-01,0.0,0.7532
SUB-SGW-021,EVT-01,0.0,0.6968
SUB-SGW-022,EVT-01,0.0,0.5859
SUB-SGW-023,EVT-01,0.0546,0.9174
SUB-SGW-024,EVT-01,0.0,0.8723
SUB-SGW-025,EVT-01,0.0209,0.902
SUB-SGW-026,EVT-01,0.0,0.9225
SUB-SGW-027,EVT-01,0.0,0.8558
SUB-SGW-028,EVT-01,0.0,0.7943
SUB-SGW-029,EVT-01,0.0,0.6516
SUB-SGW-030,EVT-01,0.0,0.6444
SUB-SGW-031,EVT-01,0.0,0.7122
SUB-SGW-032,EVT-01,0.0,0.6085
SUB-SGW-033,EVT-01,0.0,0.5829
SUB-SGW-034,EVT-01,0.0,0.7666
SUB-SGW-035,EVT-01,0.0,0.8066
SUB-SGW-036,EVT-01,0.0,0.7491
SUB-SGW-037,EVT-01,0.0,0.861
SUB-SGW-038,EVT-01,0.0,0.8394
SUB-SGW-039,EVT-01,0.0,0.7953
SUB-SGW-040,EVT-01,0.0,0.9256
SUB-SGW-041,EVT-01,0.0,0.9595
SUB-SGW-042,EVT-01,0.0,0.8138
SUB-SGW-043,EVT-01,0.0045,0.9236
SUB-SGW-044,EVT-01,0.0,0.5808
SUB-SGW-045,EVT-01,0.0,0.8969
SUB-SGW-046,EVT-01,0.0361,0.9718
SUB-SGW-047,EVT-01,0.0,0.589
SUB-SGW-048,EVT-01,0.0,0.6916
SUB-SGW-049,EVT-01,0.0,0.9102
SUB-SGW-050,EVT-01,0.0,0.7522
SUB-SGW-051,EVT-01,0.0,0.8158
SUB-SGW-052,EVT-01,0.0,0.6619
SUB-SGW-053,EVT-01,0.0,0.6475
SUB-SGW-054,EVT-01,0.0389,0.8805
SUB-SGW-055,EVT-01,0.0299,0.9492
SUB-SGW-056,EVT-01,0.0,0.7604
SUB-SGW-057,EVT-01,0.0,0.9328
SUB-SGW-058,EVT-01,0.0,0.707
SUB-SGW-059,EVT-01,0.0,0.6526
SUB-SGW-060,EVT-01,0.0,0.628
SUB-SGW-061,EVT-01,0.0,0.7604
SUB-SGW-062,EVT-01,0.0,0.8856
SUB-SGW-063,EVT-01,0.0035,0.8733
SUB-SGW-064,EVT-01,0.0006,0.9461
SUB-SGW-065,EVT-01,0.0,0.5972
SUB-SGW-066,EVT-01,0.0,0.6568
SUB-SGW-067,EVT-01,0.0,0.6342
SUB-SGW-068,EVT-01,0.0085,0.8979
SUB-SGW-069,EVT-01,0.0,0.6732
SUB-SGW-070,EVT-01,0.0,0.5665
SUB-SGW-071,EVT-01,0.0,0.6424
SUB-SGW-072,EVT-01,0.0,0.7296
SUB-SGW-073,EVT-01,0.0,0.6834
SUB-SGW-074,EVT-01,0.0,0.7286
SUB-SGW-075,EVT-01,0.0,0.6578
SUB-SGW-076,EVT-01,0.0,0.863
SUB-SGW-077,EVT-01,0.0,0.7707
SUB-SGW-078,EVT-01,0.0,0.6414
SUB-SGW-079,EVT-01,0.0,0.8876
SUB-SGW-080,EVT-01,0.0,0.9051
SUB-SGW-081,EVT-01,0.0,0.5767
SUB-SGW-082,EVT-01,0.0,0.8846
SUB-SGW-083,EVT-01,0.0,0.7594
