inspection_id,true_cooling_degraded,true_ventilation_obstructed,true_oil_issue,true_overdue_remedial,has_resolution,has_negation
INS-001-1,False,False,False,False,False,False
INS-001-2,False,False,False,False,False,False
INS-002-1,False,False,False,False,False,False
INS-002-2,False,False,True,False,False,False
INS-003-1,False,False,False,False,False,False
INS-003-2,False,False,False,False,False,False
INS-004-1,False,False,False,False,False,False
INS-004-2,False,True,True,False,False,False
INS-005-1,False,False,False,False,False,False
INS-005-2,False,False,False,False,False,False
INS-006-1,False,False,False,False,False,True
INS-006-2,True,True,False,False,True,False
INS-007-1,False,False,False,False,True,False
INS-007-2,False,False,False,False,False,False
INS-008-1,False,False,False,False,False,True
INS-008-2,False,False,True,False,False,False
INS-009-1,False,False,False,True,False,False
INS-009-2,True,True,False,True,False,False
INS-010-1,True,True,False,True,False,False
INS-010-2,False,False,False,True,False,False
INS-011-1,False,False,False,False,False,False
INS-011-2,False,True,True,False,False,False
INS-012-1,False,False,False,False,False,True
INS-012-2,False,False,False,False,False,False
INS-013-1,False,False,True,True,False,False
INS-013-2,False,False,True,False,False,False
INS-014-1,False,False,False,False,False,False
INS-014-2,False,False,False,False,False,False
INS-015-1,False,False,False,True,False,False
INS-015-2,False,False,False,False,False,False
INS-016-1,False,False,False,False,False,False
INS-016-2,False,False,False,False,False,False
INS-017-1,False,False,False,False,False,False
INS-017-2,False,False,False,False,False,False
INS-018-1,True,True,False,False,False,False
INS-018-2,False,True,False,False,False,False
INS-019-1,False,False,False,False,False,False
INS-019-2,False,True,True,False,False,False
INS-020-1,False,False,False,False,False,False
INS-020-2,False,False,False,False,False,False
INS-021-1,False,False,False,False,False,True
INS-021-2,False,False,False,False,False,False
INS-022-1,True,False,False,False,False,False
INS-022-2,False,False,False,False,False,True
INS-023-1,True,True,False,False,False,False
INS-023-2,True,False,False,False,False,False
INS-024-1,False,False,False,False,False,False
INS-024-2,True,True,True,False,False,False
INS-025-1,False,True,True,True,False,False
INS-025-2,False,False,False,True,False,False
INS-026-1,False,False,True,False,False,False
INS-026-2,False,False,True,False,False,False
INS-027-1,False,False,False,False,False,False
INS-027-2,False,False,False,False,False,False
INS-028-1,False,True,False,False,False,False
INS-028-2,False,False,False,False,False,True
INS-029-1,False,True,False,False,False,False
INS-029-2,False,False,False,False,False,True
INS-030-1,False,False,False,False,True,False
INS-030-2,True,False,True,False,True,False
INS-031-1,True,False,True,True,False,False
INS-031-2,False,False,True,False,False,False
INS-032-1,False,False,False,False,False,True
INS-032-2,False,True,False,True,False,False
INS-033-1,False,False,False,False,False,True
INS-033-2,False,False,True,False,False,False
INS-034-1,False,False,False,True,False,True
INS-034-2,False,False,False,False,True,False
INS-035-1,False,False,False,False,False,False
INS-035-2,False,False,False,False,False,False
INS-036-1,False,False,False,False,False,False
INS-036-2,False,False,False,False,False,False
INS-037-1,True,False,False,False,False,False
INS-037-2,False,True,False,False,False,False
INS-038-1,False,False,False,False,False,False
INS-038-2,False,False,False,False,False,False
INS-039-1,True,True,False,False,False,False
INS-039-2,False,True,True,False,False,False
INS-040-1,False,False,False,True,False,False
INS-040-2,False,True,False,False,False,False
INS-041-1,False,True,True,True,False,False
INS-041-2,False,False,True,True,False,False
INS-042-1,False,False,False,False,False,False
INS-042-2,False,False,False,False,False,False
